"Name","Parent_Event__c","Event_Start_Date__c","Event_End_Date__c","Cut_Off_Date__c","Venue__c","Display_Title__c","Display_Title_zh__c","Maximum_Registration__c","Event_Manager__c","Send_SMS_Confirmation__c","OwnerId"
"1C2N-YWS-20240429-1100","a6zA20000000NSrIAM","2024-04-29T11:00:00+0800","2024-04-29T14:00:00+0800","2024-04-29T00:00:00+0800","a74RC0000000AcFYAU","29/04/2024 11:00 - 14:00","29/04/2024 11:00 - 14:00","5","005BV000000I5VyYAK","TRUE","005BV000000I5VyYAK"
"1C2N-YWS-20240429-1400","a6zA20000000NSrIAM","2024-04-29T14:00:00+0800","2024-04-29T17:00:00+0800","2024-04-29T00:00:00+0800","a74RC0000000AcFYAU","29/04/2024 14:00 - 17:00","29/04/2024 14:00 - 17:00","5","005BV000000I5VyYAK","TRUE","005BV000000I5VyYAK"
"1C2N-YWS-20240429-1700","a6zA20000000NSrIAM","2024-04-29T17:00:00+0800","2024-04-29T20:00:00+0800","2024-04-29T00:00:00+0800","a74RC0000000AcFYAU","29/04/2024 17:00 - 20:00","29/04/2024 17:00 - 20:00","5","005BV000000I5VyYAK","TRUE","005BV000000I5VyYAK"
"1C2N-YWS-20240430-1100","a6zA20000000NSrIAM","2024-04-30T11:00:00+0800","2024-04-30T14:00:00+0800","2024-04-30T00:00:00+0800","a74RC0000000AcFYAU","30/04/2024 11:00 - 14:00","30/04/2024 11:00 - 14:00","5","005BV000000I5VyYAK","TRUE","005BV000000I5VyYAK"
"1C2N-YWS-20240430-1400","a6zA20000000NSrIAM","2024-04-30T14:00:00+0800","2024-04-30T17:00:00+0800","2024-04-30T00:00:00+0800","a74RC0000000AcFYAU","30/04/2024 14:00 - 17:00","30/04/2024 14:00 - 17:00","5","005BV000000I5VyYAK","TRUE","005BV000000I5VyYAK"
"1C2N-YWS-20240430-1700","a6zA20000000NSrIAM","2024-04-30T17:00:00+0800","2024-04-30T20:00:00+0800","2024-04-30T00:00:00+0800","a74RC0000000AcFYAU","30/04/2024 17:00 - 20:00","30/04/2024 17:00 - 20:00","5","005BV000000I5VyYAK","TRUE","005BV000000I5VyYAK"
"1C2N-YWS-20240501-1100","a6zA20000000NSrIAM","2024-05-01T11:00:00+0800","2024-05-01T14:00:00+0800","2024-05-01T00:00:00+0800","a74RC0000000AcFYAU","01/05/2024 11:00 - 14:00","01/05/2024 11:00 - 14:00","5","005BV000000I5VyYAK","TRUE","005BV000000I5VyYAK"
"1C2N-YWS-20240501-1400","a6zA20000000NSrIAM","2024-05-01T14:00:00+0800","2024-05-01T17:00:00+0800","2024-05-01T00:00:00+0800","a74RC0000000AcFYAU","01/05/2024 14:00 - 17:00","01/05/2024 14:00 - 17:00","5","005BV000000I5VyYAK","TRUE","005BV000000I5VyYAK"
"1C2N-YWS-20240501-1700","a6zA20000000NSrIAM","2024-05-01T17:00:00+0800","2024-05-01T20:00:00+0800","2024-05-01T00:00:00+0800","a74RC0000000AcFYAU","01/05/2024 17:00 - 20:00","01/05/2024 17:00 - 20:00","5","005BV000000I5VyYAK","TRUE","005BV000000I5VyYAK"
"1C2N-YWS-20240502-1100","a6zA20000000NSrIAM","2024-05-02T11:00:00+0800","2024-05-02T14:00:00+0800","2024-05-02T00:00:00+0800","a74RC0000000AcFYAU","02/05/2024 11:00 - 14:00","02/05/2024 11:00 - 14:00","5","005BV000000I5VyYAK","TRUE","005BV000000I5VyYAK"
